CÓDIGO,TÍTULO
7012170500370406,SERVICIO DE ELABORACION DE PROGRAMA DE PRODUCCION Y ALIMENTACION DE GANADO 
7012190100230164,SERVICIO DE ELABORACION DE ESTUDIO DE SOPORTABILIDAD DE PASTOS NATURALES
7012200100225310,SERVICIO DE APOYO EN PREPARACION DE CULTIVO DE ROTIFEROS (ALIMENTO VIVO)
7012200100226994,"SERVICIO DE ALIMENTACION, CUIDADO,  LIMPIEZA Y ADIESTRAMIENTO DE CANES"
7012200500226820,SERVICIO DE MEDICACION PREVENTIVA DE SALUD ANIMAL
7012200600226821,SERVICIO DE VACUNACION ANIMAL
7012200700226826,SERVICIO DE EVALUACION VETERINARIA
7012200700317259,SERVICIO DE ATENCIONES DE MEDICINA VETERINARIA
7013150500362760,SERVICIO DE INSTALACION DE PARCELAS AGRICOLAS
7013150600258549,SERVICIO DE REHABILITACION DE PARCELAS AGRICOLAS
7013150600293164,SERVICIOS DE COMPACTADO DE SUELO
7013160100086278,SERVICIO DE INSTALACION DE ABONO DE TIERRA
7013170100086150,SERVICIO DE ELABORACION DE ESTUDIO DE DISTRIBUCION DE AREAS DE CULTIVO
7013170100371461,SERVICIO DE GESTION DE USO DE TERRENOS PARA FRANJA DE SERVIDUMBRE
7013170500230070,SERVICIO DE ELABORACION DE ESTUDIO DE SUELOS PARA CONSTRUCCION DE EDIFICACIONES
7013170500302529,SERVICIO DE ELABORACION DE ESTUDIO DE SUELOS PARA CONSTRUCCION DE VIAS
7013170600226336,SERVICIO DE MANEJO DE CUENCAS Y ZONAS MARINO COSTERAS
7013170600227002,SERVICIO DE ZONIFICACION ECOLOGICA Y ECONOMICA DE LA CUENCA HIDROLOGICA
7013170600329694,SERVICIO DE ELABORACION DE ESTUDIO DE PRECIPITACIONES EN CUENCAS
7013170700276663,SERVICIO DE ANALISIS DE SUELOS CON FINES AGRICOLAS
7014150100086314,SERVICIO DE PROPAGACION DE PLANTONES DE VID
7014150200287264,SERVICIO DE EVALUACION DE ESTUDIO AMBIENTAL DE ACUICULTURA
7014160100270110,SERVICIO DE FUMIGACION DE PARCELAS AGROFORESTALES
7014160200306222,SERVICIO DE ERRADICACION Y CONTROL DE AVES INVASORAS METODO CETRERIA
7014170100086307,SERVICIO DE ACONDICIONAMIENTO DE SISTEMA DE VENTILACION PARA INVERNADERO
7014170100086315,SERVICIO DE INSTALACION DE VIVERO
7014170100360625,SERVICIO DE REMODELACION DE VIVERO
7014170200086313,SERVICIO DE APLICACION DE FERTILIZANTES Y PESTICIDAS
7014170300126687,SERVICIO DE ADMINISTRACION DE CULTIVOS
7014170600227092,SERVICIO DE REVISION DE EXPEDIENTE TECNICO DE CULTIVOS Y CRIANZA DE ANIMALES
7014170700351817,SERVICIO DE COORDINACION PROFESIONAL PARA EL MEJORAMIENTO DE LA CAPACIDAD TECNICO PRODUCTIVA AGRICOLA
7014170800279138,SERVICIO DE ESTUDIO DE CULTIVO PREDOMINANTE
7014171100394645,SERVICIO DE INDENTIFICACION DE FITOPATOLOGIAS EN CULTIVOS DE PALTO
7014180400228792,SERVICIO DE SIEMBRA DE CULTIVO
7014190300228799,SERVICIO DE COSECHA DE CULTIVO
7014200200344617,SERVICIO DE INSTALACION DE SECADORA SOLAR DE CAFE
7014200300304130,SERVICIO DE PREPARACION DE TERRENO PARA PLANTACION DE ARBOLES
7014201000228790,SERVICIO DE LIMPIEZA DE PLANTACIONES
7015150200365052,SERVICIO DE CONTROL FITOSANITARIO
7015150400255448,SERVICIO DE APOYO TECNICO EN FORESTACION
7015150400258581,CONSULTORIA PARA DESARROLLO DE METODOLOGIAS EN EL INVENTARIO NACIONAL FORESTAL
7015150400258586,CONSULTORIA PARA DETERMINAR OBJETIVOS Y ESTRATEGIAS DE PROPUESTA PARA CONSERVACION DE BOSQUES
7015150400342271,"SERVICIO DE MANEJO DE PASTURAS, FORRAJES Y REFORESTACION"
7015150400368416,CONSULTORIA PARA EL DESARROLLO DE MECANISMOS E INSTRUMENTOS FINANCIEROS PARA LOS PRODUCTORES FORESTALES
7015150400370014,SERVICIO DE SUPERVISION DE REFORESTACION
7015150400370410,SERVICIO DE ASISTENCIA TECNICA EN ACTIVIDAD FORESTAL
7015150400383381,SERVICIO DE CONDUCCION Y SEGUIMIENTO PARA RECUPERACION DE PRADERAS NATURALES
7015150500086298,SERVICIO DE INVENTARIO FORESTAL
7015150700086299,SERVICIO DE REFORESTACION
7015150700255226,SERVICIO DE RESIDENCIA PARA EJECUCION DE REFORESTACION
7015160600376887,SERVICIO DE ANALISIS DE SECADO DE MADERA EN HORNO EXPERIMENTAL
7015170100294149,SERVICIO DE TALA DE PALMERAS
7015180200371460,CONSULTORIA PARA CONTROL Y VIGILANCIA FORESTAL DE FAUNA SILVESTRE
7015190100307013,SERVICIO DE RECUPERACION DE POBLACIONES DE ESPECIES MADERABLES
7016150100298987,SERVICIO DE DESARROLLO DE GUIA DE INVENTARIO DE FLORA SILVESTRE
7016150100348628,SERVICIO DE ELABORACION DE ESTUDIO POBLACIONAL DE ESPECIES DE COCODRILOS
7016150100364781,SERVICIO DE ELABORACION DE ESTUDIO POBLACIONAL DE ESPECIES DE PECARIES
7016150100374210,SERVICIO DE ELABORACION DE ESTUDIO Y MANEJO DE ESPECIES EXOTICAS INVASORAS
7016170100289507,SERVICIO DE ELABORACION MAPA DE EXISTENCIA DE ESPECIES
7016170200227353,SERVICIO DE ELABORACION ESTUDIO DE BATIMETRIA
7016170200228403,SERVICIO DE RADIOGRAFIA DE SEDIMENTOS MARINOS
7016170200228407,SERVICIO DE FABRICACION DE REDES DE FITOPLANCTON
7016170300388800,SERVICIO DE CONSULTORIA PARA ELABORACION DE ESTUDIO DE HABITAT
7016170400258639,SERVICIO DE ELABORACION DE ESTUDIO DE GESTION SOSTENIBLE DE ECOSISTEMAS
7017150100360054,SERVICIO DE TOMA DE MUESTRAS DE AGUA EN REDES DE AGUA POTABLE
7017150200337868,SERVICIO DE CONSULTORIA ELABORACION DE ESTUDIO DE APROVECHAMIENTO HIDRICO Y DISEÑO HIDRAULICO
7017150300270116,SERVICIO DE ANALISIS DE CALIDAD DE SEDIMENTOS
7017150300373882,SERVICIO DE MONITOREO DE AGUA SUBTERRANEA
7017150300388799,SERVICIO DE CONSULTORIA PARA ELABORACION DE ESTUDIO DE POTENCIAL HIDROENERGETICO
7017150400383379,SERVICIO DE MONITOREO DE ELABORACION DE SISTEMA INFORMATICO DE RECURSOS HIDRICOS
7017150600228330,SERVICIO DE USO DE AGUA SUBTERRANEA
7017160200333482,SERVICIO DE ANALISIS DE LABORATORIO - BACTERIAS COLIFORMES TOTALES
7017160200333484,SERVICIO DE ANALISIS DE LABORATORIO - CLORO LIBRE
7017160200333485,SERVICIO DE ANALISIS DE LABORATORIO - CLORO TOTAL
7017160200333486,SERVICIO DE ANALISIS DE LABORATORIO - CLORUROS
7017160200333487,SERVICIO DE ANALISIS DE LABORATORIO - DUREZA TOTAL EN MUESTRA DE AGUA
7017160200333489,SERVICIO DE ANALISIS DE LABORATORIO - E. COLI
7017160200333490,"SERVICIO DE ANALISIS DE LABORATORIO - HUEVOS Y LARVAS DE HELMINTOS, QUISTES Y PROTOZOARIOS PATOGENOS"
7017160200333491,SERVICIO DE ANALISIS DE LABORATORIO - PH EN MUESTRA DE AGUA
7017160200333492,SERVICIO DE ANALISIS DE LABORATORIO - PH
7017160200333494,SERVICIO DE ANALISIS DE LABORATORIO - SULFATOS
7017160200333496,SERVICIO DE ANALISIS DE LABORATORIO - VIRUS
7017160300086277,SERVICIO DE LIMPIEZA DEL CAUCE DEL RIO
7017170100086309,SERVICIO DE LIMPIEZA Y APERTURA DE CANALES DE RIEGO
7017170200348269,SERVICIO DE MANTENIMIENTO CORRECTIVO DE REPRESA
7017170200348270,SERVICIO DE MANTENIMIENTO PREVENTIVO DE REPRESA
7017170200356721,SERVICIO DE MANTENIMIENTO CORRECTIVO DE BOCATOMA
7017170200362154,SERVICIO DE MANTENIMIENTO DE BALDOSAS DE PRESA DERIVADORA
7017170500254686,SERVICIO DE MANTENIMIENTO CORRECTIVO DE TUBERIA DE AGUA DE INVERNADERO
7017170900228794,SERVICIO DE AGUA PARA AGRICULTURA
7017170900228800,SERVICIO DE RIEGO DE CULTIVOS
7017170900230146,SERVICIO DE ELABORACION DE ESTUDIO DE MODULOS DE RIEGO
7017170900360092,SERVICIO DE MANTENIMIENTO DE SISTEMA DE RIEGO
7017170900383380,SERVICIO DE CONDUCCION Y SEGUIMIENTO PARA CONSTRUCCION DE INFRAESTRUCTURA DE RIEGO
7017171000228787,SERVICIO DE INSTALACION DE SISTEMA DE RIEGO DE JARDINES Y SIMILARES
7017171000228789,SERVICIO DE INSTALACION DE SISTEMA DE RIEGO TECNIFICADO PARA CULTIVOS
7017171000356894,SERVICIO DE FABRICACION DE TAPAS Y COMPUERTAS DE FIERRO PARA SISTEMA DE RIEGO
7017180200228353,SERVICIO DE DRENAJE DE AGUAS PLUVIALES
7017180300086337,SERVICIO DE MANTENIMIENTO DE TUBERIAS DE TRANSPORTE DE HIDROCARBUROS
7017180300086338,SERVICIO DE MANTENIMIENTO DE TUBERIAS A VAPOR
7017180300086340,SERVICIO DE MANTENIMIENTO DE TUBERIAS DE DESAGUE
7017180300086341,SERVICIO DE MANTENIMIENTO DE TUBERIAS DE FIBRA OPTICA
7017180300086342,SERVICIO DE MANTENIMIENTO DE TUBERIAS DE DRENAJE
7017180300086345,SERVICIO DE MANTENIMIENTO DE POZO ARTESIANO
7110150200345392,SERVICIO DE EXTRACCION DE TESTIGOS DE DIAMANTINA
7110160300345112,SERVICIO DE PERFORACION CON TALADRO LARGO
7110170200258533,SERVICIO DE EXTRACCION DE AGREGADOS
7110171000232835,SERVICIO DE ALQUILER DE FAJA TRANSPORTADORA
7110171000376428,SERVICIO DE ALQUILER DE AUTORESCATADOR DE ACERO INOXIDABLE DE 100 mm x 93 mm x 133 mm
7111202000232983,SERVICIO DE ALQUILER DE SISTEMA DE CAMARAS DE MONITOREO
7111232500369374,"SERVICIO DE INSTALACION, MANTENIMIENTO Y MONITOREO DE RED ACELEROGRAFICA"
7112111900093869,SERVICIO DE DISTENSIONAMIENTO DE TUBERIA
7112150400226538,SERVICIO DE CALCULO DE CAPACIDAD DE TANQUE DE PETROLEO
7112163900272133,SERVICIO DE ALQUILER DE BROCA PARA PERFORADORA DE ROTACION
7112170500337549,SERVICIO DE OPERACION DEL SISTEMA DE HIDROCARBUROS LIQUIDOS
7112170500340160,SERVICIO DE RECUPERACION DE HIDROCARBURO DE LA BORRA ACUMULADA
7112180900094025,SERVICIO DE INSTALACION DE SISTEMA DE AUTOMATIZACION DE TANQUE DE PETROLEO DE CALDERO
7112230800093905,SERVICIO DE INSTALACION DE TUBERIA SUBMARINA
7112240800226814,SERVICIO DE SONDEO ELECTRICO DE POZO PROFUNDO
7112250200374339,SERVICIO DE TRASLADO Y OPERACION DE EQUIPO DE MEDICION DE FLUJO MASIVO DE GAS LICUADO
7112250400375125,SERVICIO DE ANALISIS DE MUESTRAS PARA CONTROL DE CALIDAD DE HIDROCARBUROS
7112270100093894,SERVICIO DE MANTENIMIENTO DE MUROS CONTRAINCENDIO E IMPERMEABILIZACION DE CUBETOS DE TANQUES
7112270100093895,SERVICIO DE MANTENIMIENTO CORRECTIVO DE PLATAFORMA PETROLIFERA Y ESCALERAS
7112270200361501,SERVICIO DE MANTENIMIENTO PREVENTIVO DE LA UNIDAD DE MOVIMIENTO DE CRUDO
7112270200361502,SERVICIO DE MANTENIMIENTO CORRECTIVO DE LA UNIDAD DE MOVIMIENTO DE CRUDO
7112271000337581,SERVICIO DE TOMA DE REPLICA METALOGRAFICA DE LAS TUBERIAS DEL HORNO DE CRUDO
7112271000358791,SERVICIO DE ELABORACION DE EXPEDIENTE TECNICO PARA REEMPLAZO DE TUBERIA DE PETROLEO CRUDO
7112271000362325,SERVICIO DE REEMPLAZO DE MANGUERA SUBMARINA PARA DESPACHO DE HIDROCARBUROS
7112290300348554,SERVICIO DE FABRICACION DE BARCAZA
7112290300356691,SERVICIO DE SUPERVISION DE LA CONSTRUCCION DE BARCAZAS
7112300300352933,SERVICIO DE ELABORACION DE PROYECTO DE SUPERVISION DE MEDICION DE HIDROCARBUROS
7113111000390338,SERVICIO DE ANALISIS DE FALLAS DE COLECTOR DE EXTREMO TUBERIA - PLEM DE TRANSPORTE DE CRUDO
7113141000364203,SERVICIO DE TRASIEGO DE EFLUENTES TOXICOS DE SEPARADOR DE CRUDO
7115110600228617,SERVICIO DE ADMINISTRACION ALMACENAMIENTO Y CUSTODIA DE CINTAS BACKUP
7115110600391971,SERVICIO DE UNIDAD DE ALMACENAMIENTO DE INFORMACION Y SISTEMAS CRITICOS
7115130600388787,SERVICIO DE ELABORACION DE ESTUDIO DE POTENCIAL MINERO
7116130100354856,SERVICIO DE INSPECCION DE TUBERIA DE HIDROCARBUROS
7116130100392953,SERVICIO DE INSPECCION SUBMARINA DE PLATAFORMAS MARINAS
7116140500291147,SERVICIO DE MANTENIMIENTO DE GEOMEMBRANAS
7116140800093890,SERVICIO DE OPERACION DE EMBARCACIONES MARITIMAS
7116161000392913,SERVICIO DE CONSULTORIA PARA SOPORTE EN EL PROCESO DE DETERMINACION DEL MARGEN DE RESERVA FIRME OBJETIVO Y LA TASA DE INDISPONIBILIDAD FORTUITA 
7117160300392593,SERVICIO DE ANALISIS DE CAUSA RAIZ Y ENSAYOS METALOGRAFICOS DE GAS NATURAL COMPRIMIDO
7210150500086334,SERVICIO DE MANTENIMIENTO DE CERRADURA
7210150500286702,SERVICIO DE INSTALACION DE CERRADURA
7210150700231081,SERVICIO DE MANTENIMIENTO DE ESCALERA METALICA
7210150700265777,SERVICIO DE MANTENIMIENTO DE DUCHAS
7210150700336811,SERVICIO DE MANTENIMIENTO PREVENTIVO DE FOSA - ZANJA PARA INSPECCION VEHICULAR
7210150700336874,SERVICIO DE MANTENIMIENTO DE PISO ESCENOGRAFIA DE AUDITORIO
7210150700336880,SERVICIO DE MANTENIMIENTO PREVENTIVO DE GRADERIAS
7210150700356179,SERVICIO DE MANTENIMIENTO DE CAPILLA
7210150900094293,SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMA DE BOMBEO DE AGUA CONTRA INCENDIOS
7210150900231241,SERVICIO DE MANTENIMIENTO DE GABINETES CONTRA INCENDIO
7210150900231925,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE ALARMA DE EMERGENCIA Y EVACUACION
7210150900232132,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE BOMBA DE AGUA CONTRA INCENDIO
7210150900258129,"SERVICIO DE MANTENIMIENTO PREVENTIVO  DEL SISTEMA DE DETECCION DE HUMO,  INCENDIO Y ANIEGO"
7210150900269822,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE RED DE AGUA PARA SISTEMA CONTRA INCENDIO
7210150900290311,SERVICIO DE INSTALACION DE SISTEMA DETECCION Y EXTRACCION DE MONOXIDO CARBONO
7210150900290312,SERVICIO DE INSTALACION DE SISTEMA PRESURIZACION DE ESCALERAS
7210150900318500,SERVICIO DE MANTENIMIENTO PREVENTIVO DE PUERTAS CORTAFUEGO
7210150900336886,SERVICIO DE MANTENIMIENTO CORRECTIVO DE SISTEMA DE EXTRACCION DE HUMOS
7210150900348226,SERVICIO DE MANTENIMIENTO CORRECTIVO DE BOMBA DE AGUA CONTRA INCENDIO
7210150900357847,SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMA DE ALARMA CONTRA ROBOS
7210150900358393,SERVICIO DE MANTENIMIENTO PREVENTIVO DE ROCIADORES DEL SISTEMA CONTRAINCENDIO
7210150900369128,SERVICIO DE PINTADO DE LA RED DE TUBERIAS DEL SISTEMA CONTRA INCENDIO
7210151000094031,SERVICIO DE MANTENIMIENTO DE SERVICIOS HIGIENICOS
7210151000094032,SERVICIO DE MANTENIMIENTO DE CONEXIONES DE AGUA
7210151000094040,SERVICIO DE PRUEBAS PARA BOMBA DE AGUA
7210151000094042,SERVICIO DE CAMBIO DE TUBERIAS PARA AGUA POTABLE
7210151000094047,SERVICIO DE CAMBIO DE TUBERIAS PARA DESAGUE
7210151000094050,SERVICIO DE MANTENIMIENTO DE SISTEMA DE CAPTACION DE AGUA
7210151000094051,SERVICIO DE MANTENIMIENTO DE INSTALACIONES SANITARIAS EN EDIFICACIONES
7210151000094403,SERVICIO DE MANTENIMIENTO PREVENTIVO DE BAÑO PORTATIL
7210151000094751,SERVICIO DE MANTENIMIENTO CORRECTIVO DE EQUIPO HIDRONEUMATICO DE AGUA
7210151000225239,SERVICIO DE ACONDICIONAMIENTO DE MINI PLANTA DE TRATAMIENTO DE AGUA
7210151000230336,SERVICIO DE INSTALACION DE GRIFERIA
7210151000232130,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE TANQUE HIDRONEUMATICO
7210151000254998,SERVICIO DE ACONDICIONAMIENTO DE SISTEMA DE DESAGUE CON TRAMPA DE GRASA
7210151000255362,SERVICIO DE PRUEBA DE SISTEMA DE AGUA CONTRA INCENDIO
7210151000255363,SERVICIO DE PRUEBA HIDRAULICA DE SISTEMA DE AGUA Y DESAGUE
7210151000279275,SERVICIO DE INSTALACION DE RED DE AGUA CALIENTE
7210151000357875,SERVICIO DE MANTENIMIENTO DE CAMARA DE BOMBEO DE AGUA POTABLE Y SISTEMA ELECTROMECANICO
7210151000364453,"SERVICIO DE MANTENIMIENTO DEL SISTEMA DE AGUA POTABLE, DESAGUE Y DRENAJE PLUVIAL DE EDIFICACIONES"
7210151000366983,SERVICIO DE REPLANTEO DE INSTALACIONES SANITARIAS EN EDIFICACIONES
7210151100228290,SERVICIO DE INSTALACION DE TUBERIA EXTRACTORA DE VAPOR
7210151100230216,SERVICIO DE INSTALACION DE EQUIPOS DE AIRE ACONDICIONADO
7210151100230356,SERVICIO DE INSTALACION DE TOMAS PARA RED DE AIRE ACONDICIONADO
7210151100230686,SERVICIO DE MANTENIMIENTO DE DUCTOS DE EXTRACCION DE AIRE
7210151100230738,SERVICIO DE MANTENIMIENTO CORRECTIVO DE EQUIPOS DE AIRE ACONDICIONADO DE EXPANSION DIRECTA
7210151100230765,SERVICIO DE MANTENIMIENTO CORRECTIVO DEL SISTEMA DE AIRE ACONDICIONADO TIPO CHILLER
7210151100230767,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE EXTRACTOR DE AIRE
7210151100255001,SERVICIO DE ACONDICIONAMIENTOS DE AMBIENTE PARA EQUIPOS DE AIRE ACONDICIONADO
7210151100255279,SERVICIO DE DISEÑO DEL SISTEMA DE AIREACONDICIONADO CENTRALIZADO
7210151100276673,SERVICIO DE INSTALACION DE PROTECTOR ACRILICO PARA CONTROL DE AIRE ACONDICIONADO
7210151100283053,SERVICIO DE INSTALACION DE DUCTOS PARA SISTEMA DE AIRE ACONDICIONADO
7210151100283054,SERVICIO DE INSTALACION DE DUCTOS PARA SISTEMA DE INYECCION Y EXTRACCION DE AIRE
7210151100286703,SERVICIO DE DESINSTALACION DE AIRE ACONDICIONADO
7210151100356815,SERVICIO DE MANTENIMIENTO CORRECTIVO DE EQUIPO DE AIRE ACONDICONADO DE PRECISION
7210151100356816,SERVICIO DE MANTENIMIENTO PREVENTIVO DE EQUIPO DE AIRE ACONDICONADO DE PRECISION
7210151100357966,SERVICIO DE MANTENIMIENTO PREVENTIVO DE CORTINA DE AIRE
7210151100364479,SERVICIO DE MANTENIMIENTO PREVENTIVO DEL SISTEMA DE AIRE ACONDICIONADO TIPO CHILLER
7210151100364754,SERVICIO DE MANTENIMIENTO PREVENTIVO DE EQUIPOS DE AIRE ACONDICIONADO DE EXPANSION DIRECTA
7210151100392720,SERVICIO DE INSTALACIÓN DE CALEFACTOR
7210151600231192,SERVICIO DE RECARGA DE EXTINTORES
7210151600231193,SERVICIO DE RECARGA Y MANTENIMIENTO DE EXTINTORES
7210151600231223,SERVICIO DE PRUEBA HIDROSTATICA PARA EXTINTOR
7210151600231224,SERVICIO DE MANTENIMIENTO CORRECTIVO DE EXTINTORES
7210151600305557,SERVICIO DE MANTENIMIENTO PREVENTIVO DE EXTINTORES
7210151700231180,SERVICIO DE MANTENIMIENTO PREVENTIVO DE GRUPO ELECTROGENO
7210151700350731,SERVICIO DE SUPERVISION DEL MANTENIMIENTO DE GRUPO ELECTROGENO
7210151800232697,SERVICIO DE ALQUILER DE EQUIPOS UPS
7210151800232765,SERVICIO DE ALQUILER DE GRUPO ELECTROGENO
7210151900286682,SERVICIO DE INSTALACION DE VALVULA PARA BALON DE GAS
7210151900358807,SERVICIO DE INSTALACION DE SISTEMA DE ALMACENAMIENTO Y DISTRIBUCION DE GAS PARA COCINAS INDUSTRIALES
7210210300225338,SERVICIO DE FUMIGACION Y DESINFECCION DE LOCALES
7210210300225341,"SERVICIO DE DESINSECTACION, DESRATIZACION Y DESINFECCION"
7210210300225343,SERVICIO DE FUMIGACION Y DESINFECCION DE RESERVORIOS
7210210300225344,SERVICIO DE FUMIGACION Y DESINFECCION DE PARQUES
7210210300269742,SERVICIO DE FUMIGACION Y DESRATIZACION DE LOCAL
7210210600225342,SERVICIO DE DESRATIZACION DE LOCALES
7210290500086234,SERVICIO DE DEMARCACION DE TERRENO RURALES
7210290500086235,SERVICIO DE DEMARCACION DE TERRENO URBANOS
7210290500086252,SERVICIO DE NIVELACION DE TERRENO Y ELIMINACION DE DESMONTE
7210290500086271,SERVICIO DE RELLENO Y NIVELACION DE TERRENO
7210290500086273,SERVICIO DE LIMPIEZA DE TERRENOS
7210290500086275,SERVICIO DE EXCAVACION DE TERRENO Y OTROS
7210330100225256,SERVICIO DE ACONDICIONAMIENTO DE ESTACIONAMIENTO VEHICULAR
7210330100348032,SERVICIO DE MANTENIMIENTO PREVENTIVO DE BARRERA VEHICULAR
7210330100359685,SERVICIO DE FABRICACION E INSTALACION DE ESTRUCTURA METALICA PARA PARADERO
7210330200227255,SERVICIO DE ANALISIS DE LA PROPAGACION DE ONDA PARA APLICACIONES DE SURFACE RADAR
7210330200230603,SERVICIO DE REUBICACION DE PUNTOS DE RED
7210330200230813,SERVICIO DE MANTENIMIENTO PREVENTIVO DEL CABLEADO DE REDES Y CONCENTRADORES
7210330200230821,SERVICIO DE MANTENIMIENTO PREVENTIVO DE PROYECTOR MULTIMEDIA
7210330200230922,SERVICIO DE MANTENIMIENTO PREVENTIVO DE ANTENA MULTIBANDA PARA TELECOMUNCACIONES
7210330200230923,SERVICIO DE MANTENIMIENTO CORRECTIVO DE ANTENA MULTIBANDA PARA TELECOMUNCACIONES
7210330200230930,SERVICIO DE MANTENIMIENTO DE REDES DE TELECOMUNICACION
7210330200230931,SERVICIO DE MANTENIMIENTO Y PROGRAMACION DE CENTRALES TELEFONICAS
7210330200230935,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE SISTEMA DE COMUNICACION TELEFONICA
7210330200230936,SERVICIO DE MANTENIMIENTO CORRECTIVO DE TARJETA DIGITAL DE CENTRAL TELEFONICA
7210330200230941,SERVICIO DE MANTENIMIENTO PREVENTIVO DE CAMARA FILMADORA
7210330200230949,SERVICIO DE MANTENIMIENTO CORRECTIVO DE EQUIPO DE PERIFONEO
7210330200230956,SERVICIO DE MANTENIMIENTO CORRECTIVO DE EQUIPO DE RADIO
7210330200230964,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE TELEFONOS
7210330200230968,SERVICIO DE MANTENIMIENTO CORRECTIVO DE TELEFONOS CELULARES
7210330200230987,SERVICIO DE MANTENIMIENTO CORRECTIVO DE RADAR
7210330200230994,SERVICIO DE MANTENIMIENTO PREVENTIVO DE GPS
